X,Y,Z
5.380000,-15.140000,-63.770000
5.420000,-15.160000,-63.770000
5.570000,-15.250000,-63.770000
5.920000,-16.490000,-63.490000
5.450000,-15.170000,-63.410000
5.610000,-15.390000,-63.590000
5.470000,-15.060000,-63.610000
5.980000,-16.430000,-63.580000
5.520000,-15.350000,-63.770000
5.550000,-15.060000,-63.640000
5.420000,-15.110000,-63.740000
5.550000,-15.060000,-63.650000
5.600000,-15.370000,-63.560000
5.590000,-15.370000,-63.520000
5.670000,-15.280000,-63.410000
5.500000,-15.070000,-63.680000
5.420000,-15.280000,-63.410000
5.290000,-15.160000,-63.630000
5.530000,-15.360000,-63.770000
5.210000,-15.340000,-63.610000
5.300000,-15.240000,-63.770000
5.280000,-15.230000,-63.700000
5.890000,-16.680000,-63.770000
5.630000,-15.100000,-63.630000
5.320000,-15.260000,-63.770000
5.290000,-15.140000,-63.620000
5.450000,-15.920000,-63.410000
5.240000,-15.220000,-63.630000
5.390000,-15.100000,-63.670000
5.180000,-15.430000,-63.620000
5.900000,-16.680000,-63.410000
5.360000,-15.100000,-63.600000
5.370000,-15.570000,-63.770000
6.130000,-16.590000,-63.770000
6.140000,-16.670000,-63.810000
5.330000,-15.130000,-63.700000
5.830000,-15.470000,-63.770000
5.210000,-15.570000,-63.750000
5.250000,-15.720000,-63.720000
5.350000,-15.300000,-63.770000
5.340000,-15.360000,-63.410000
5.320000,-15.330000,-63.410000
5.410000,-15.090000,-63.680000
6.030000,-16.500000,-63.410000
5.370000,-15.090000,-63.590000
5.590000,-15.350000,-63.410000
5.290000,-15.150000,-63.600000
6.210000,-16.320000,-63.410000
5.360000,-15.130000,-63.700000
5.610000,-15.390000,-63.510000
5.210000,-15.410000,-63.690000
5.480000,-15.280000,-63.770000
5.310000,-15.340000,-63.770000
5.900000,-16.720000,-63.410000
6.030000,-16.170000,-63.410000
5.660000,-15.450000,-63.670000
6.020000,-16.510000,-63.410000
5.570000,-15.360000,-63.770000
5.410000,-15.170000,-63.770000
6.000000,-16.240000,-63.520000
5.520000,-15.340000,-63.770000
5.600000,-15.140000,-63.410000
5.390000,-15.490000,-63.770000
5.490000,-15.070000,-63.650000
6.190000,-16.040000,-63.770000
5.430000,-15.370000,-63.770000
5.240000,-15.680000,-63.410000
5.500000,-15.350000,-63.770000
5.970000,-16.470000,-63.410000
5.220000,-15.800000,-63.680000
5.510000,-15.360000,-63.620000
6.000000,-16.510000,-63.410000
5.260000,-15.240000,-63.760000
5.470000,-15.340000,-63.770000
5.430000,-15.090000,-63.700000
5.220000,-15.480000,-63.760000
5.190000,-15.500000,-63.740000
5.990000,-16.390000,-63.540000
5.370000,-15.090000,-63.640000
5.890000,-16.760000,-63.900000
5.460000,-15.200000,-63.410000
5.480000,-15.070000,-63.670000
5.620000,-15.400000,-63.410000
5.520000,-15.360000,-63.630000
5.520000,-15.360000,-63.590000
5.540000,-15.090000,-63.710000
5.850000,-15.540000,-63.410000
5.570000,-15.360000,-63.410000
5.290000,-15.170000,-63.620000
5.330000,-15.130000,-63.610000
5.350000,-15.150000,-63.740000
5.200000,-15.600000,-63.710000
5.780000,-16.590000,-63.770000
5.460000,-15.190000,-63.770000
5.820000,-15.600000,-63.490000
5.930000,-16.480000,-63.750000
5.180000,-15.400000,-63.640000
5.850000,-16.580000,-63.770000
5.560000,-15.360000,-63.710000
6.010000,-16.480000,-63.410000
5.510000,-15.060000,-63.610000
5.930000,-15.910000,-63.630000
6.060000,-16.530000,-63.770000
5.440000,-15.240000,-63.410000
5.280000,-15.170000,-63.670000
5.980000,-16.420000,-63.690000
6.110000,-16.690000,-63.880000
5.350000,-15.140000,-63.690000
5.890000,-16.630000,-63.410000
5.810000,-15.610000,-63.410000
5.230000,-15.370000,-63.740000
