X,Y,Z
-14.480000,5.630000,-14.160000
-14.570000,5.630000,-14.220000
-14.490000,5.630000,-14.060000
-14.420000,5.690000,-14.120000
-14.640000,5.640000,-14.260000
-14.580000,5.690000,-14.010000
-14.760000,5.590000,-14.240000
-14.860000,5.580000,-14.220000
-14.740000,6.140000,-14.040000
-14.690000,5.620000,-14.100000
-14.490000,5.640000,-13.940000
-14.590000,5.710000,-13.870000
-14.590000,6.160000,-13.960000
-14.580000,5.890000,-14.180000
-14.640000,6.020000,-14.030000
-15.940000,6.160000,-14.110000
-14.860000,5.940000,-14.340000
-14.400000,5.720000,-14.020000
-14.430000,5.700000,-13.970000
-14.590000,5.660000,-14.030000
-14.770000,5.640000,-14.290000
-14.650000,5.910000,-14.300000
-14.610000,6.100000,-14.030000
-15.650000,6.630000,-13.980000
-14.690000,6.250000,-13.880000
-14.480000,5.630000,-14.110000
-15.800000,6.460000,-14.230000
-15.700000,6.420000,-14.290000
-15.640000,6.530000,-14.010000
-14.460000,5.640000,-14.020000
-14.430000,5.680000,-14.020000
-15.800000,6.270000,-13.820000
-15.870000,6.210000,-14.010000
-14.710000,5.890000,-13.720000
-14.390000,5.680000,-14.050000
-15.900000,6.650000,-14.270000
-15.880000,6.540000,-14.250000
-16.040000,6.370000,-13.940000
-14.680000,5.570000,-14.160000
-14.780000,5.570000,-14.220000
-14.420000,5.710000,-14.010000
-14.410000,5.710000,-14.070000
-14.620000,5.750000,-13.920000
-14.410000,5.720000,-13.950000
-14.380000,5.770000,-13.960000
-15.940000,6.550000,-14.010000
-14.880000,5.690000,-14.100000
-15.650000,6.310000,-13.830000
-14.640000,5.580000,-14.170000
-14.710000,5.640000,-14.000000
-14.570000,5.980000,-14.160000
-14.480000,6.040000,-14.050000
-14.390000,5.730000,-14.040000
-14.450000,5.650000,-13.970000
-14.460000,5.660000,-14.130000
-15.250000,6.110000,-13.700000
-14.420000,5.700000,-14.020000
-14.590000,5.660000,-14.240000
-14.810000,5.600000,-14.250000
-16.080000,6.260000,-13.810000
-14.530000,5.600000,-14.060000
-14.430000,5.670000,-14.090000
-15.870000,6.480000,-14.190000
-15.850000,6.360000,-13.840000
-15.310000,6.220000,-13.850000
-15.960000,6.210000,-14.020000
-14.390000,5.780000,-13.960000
-16.080000,6.200000,-13.970000
-14.960000,5.690000,-14.290000
-14.610000,5.600000,-14.220000
-14.760000,5.620000,-14.080000
-14.450000,5.670000,-13.960000
-16.060000,6.340000,-13.830000
-15.890000,6.700000,-14.230000
-15.700000,6.050000,-14.130000
-15.780000,6.300000,-13.870000
-14.450000,5.690000,-14.160000
-14.590000,5.570000,-14.080000
-14.540000,5.650000,-14.220000
-14.720000,5.910000,-14.020000
-14.820000,5.980000,-13.670000
-14.520000,5.970000,-14.130000
-14.470000,5.620000,-14.030000
-14.790000,5.990000,-14.400000
-15.120000,5.700000,-14.210000
-14.780000,5.960000,-13.710000
-15.790000,6.240000,-13.980000
-14.430000,5.710000,-13.920000
-14.440000,5.670000,-14.050000
-14.630000,6.120000,-13.930000
-15.720000,6.450000,-13.970000
-14.870000,5.630000,-14.190000
-15.670000,6.420000,-14.320000
-14.820000,6.290000,-13.910000
-14.940000,6.070000,-13.850000
-14.500000,5.620000,-13.970000
-14.550000,5.870000,-14.190000
-14.580000,6.010000,-14.050000
-14.670000,5.650000,-14.040000
-15.740000,6.420000,-13.940000
-14.420000,5.740000,-13.900000
-14.560000,5.610000,-14.170000
-14.420000,5.840000,-13.850000
-14.610000,5.960000,-14.170000
-14.920000,5.620000,-14.270000
-14.450000,5.650000,-14.050000
-15.920000,6.420000,-14.000000
-14.450000,5.650000,-14.040000
-14.630000,5.580000,-14.140000
-14.650000,5.680000,-13.950000
-15.960000,6.200000,-14.050000
-15.090000,6.060000,-13.650000
-14.450000,5.640000,-14.090000
-14.450000,5.850000,-14.270000
-15.070000,5.760000,-14.350000
-14.430000,5.830000,-13.890000
-15.050000,6.060000,-14.340000
-14.440000,6.050000,-14.010000
-14.440000,5.670000,-13.990000
