X,Y,Z
5.560000,5.130000,35.320000
5.500000,4.640000,35.400000
6.700000,5.640000,35.290000
5.400000,4.690000,35.310000
5.360000,4.670000,35.420000
5.440000,4.860000,35.650000
5.520000,4.780000,35.650000
5.680000,4.670000,35.310000
5.260000,4.850000,35.410000
5.960000,5.600000,35.380000
5.300000,4.940000,35.650000
6.440000,5.720000,35.310000
5.430000,5.190000,35.290000
5.440000,5.140000,35.290000
5.360000,4.710000,35.390000
5.520000,5.010000,35.470000
5.600000,4.860000,35.290000
5.540000,5.310000,35.650000
5.500000,4.950000,35.650000
6.470000,5.570000,35.290000
5.520000,4.950000,35.470000
6.730000,5.700000,35.290000
6.250000,5.780000,35.650000
5.440000,4.910000,35.650000
5.830000,4.900000,35.290000
5.690000,4.660000,35.380000
5.320000,4.760000,35.330000
5.960000,4.860000,35.650000
5.250000,4.950000,35.400000
6.350000,5.810000,35.650000
5.370000,4.670000,35.400000
6.060000,4.830000,35.370000
5.290000,4.900000,35.290000
5.270000,4.810000,35.390000
6.280000,5.730000,35.580000
5.620000,4.630000,35.420000
5.260000,4.800000,35.460000
5.400000,4.660000,35.470000
5.980000,4.940000,35.290000
5.460000,5.020000,35.650000
5.680000,4.860000,35.650000
5.310000,4.740000,35.370000
5.540000,5.330000,35.290000
6.680000,5.820000,35.230000
5.760000,5.460000,35.440000
5.470000,4.680000,35.290000
5.570000,4.870000,35.650000
5.350000,4.680000,35.440000
5.830000,4.680000,35.460000
5.460000,4.630000,35.420000
5.320000,4.710000,35.410000
5.380000,4.690000,35.380000
5.410000,4.880000,35.290000
5.770000,5.430000,35.290000
6.150000,5.300000,35.650000
5.810000,4.690000,35.440000
6.010000,5.820000,35.290000
5.590000,4.640000,35.370000
5.320000,4.740000,35.370000
6.010000,5.020000,35.650000
5.350000,4.940000,35.290000
5.490000,4.870000,35.650000
5.240000,4.880000,35.440000
5.400000,4.690000,35.370000
5.680000,4.650000,35.430000
6.480000,5.670000,35.650000
5.580000,4.650000,35.350000
6.440000,5.970000,35.290000
5.440000,4.640000,35.470000
5.360000,4.900000,35.290000
5.660000,5.280000,35.650000
5.310000,4.720000,35.440000
6.420000,5.860000,35.650000
5.590000,4.660000,35.330000
5.540000,4.880000,35.650000
5.490000,4.880000,35.290000
6.590000,5.920000,35.270000
5.360000,4.710000,35.470000
5.450000,4.860000,35.650000
5.370000,4.700000,35.350000
5.330000,4.710000,35.380000
6.560000,5.650000,35.650000
5.290000,4.780000,35.390000
5.270000,4.880000,35.350000
5.370000,4.670000,35.450000
6.720000,5.660000,35.650000
5.430000,5.170000,35.650000
5.520000,4.980000,35.390000
6.190000,5.710000,35.290000
5.280000,4.800000,35.390000
5.500000,4.630000,35.400000
6.710000,5.460000,35.650000
6.100000,5.220000,35.290000
6.230000,5.580000,35.650000
5.400000,4.650000,35.440000
5.240000,4.850000,35.450000
5.250000,5.000000,35.390000
6.400000,5.920000,35.650000
5.510000,4.950000,35.290000
5.420000,4.650000,35.430000
5.240000,4.850000,35.450000
5.250000,5.010000,35.430000
5.360000,4.690000,35.460000
5.440000,4.640000,35.430000
5.570000,5.100000,35.550000
5.360000,4.690000,35.460000
5.370000,4.680000,35.410000
6.410000,5.730000,35.360000
5.330000,4.750000,35.350000
5.270000,4.770000,35.450000
5.340000,4.710000,35.450000
6.310000,5.740000,35.380000
5.530000,4.940000,35.580000
5.490000,4.620000,35.440000
5.490000,4.810000,35.650000
5.260000,4.790000,35.430000
5.330000,5.100000,35.290000
6.390000,5.740000,35.300000
5.500000,5.100000,35.650000
6.700000,5.840000,35.750000
