X,Y,Z
5.530000,-15.920000,-63.770000
-14.630000,5.680000,-13.900000
-15.680000,6.310000,-13.850000
-14.930000,5.710000,-14.370000
-14.550000,5.870000,-14.190000
5.510000,4.720000,35.290000
-14.590000,6.160000,-13.960000
5.470000,-15.290000,-63.410000
6.150000,5.300000,35.650000
5.640000,-15.100000,-63.660000
-14.820000,5.980000,-13.670000
5.720000,4.640000,35.420000
-15.990000,6.180000,-14.020000
5.840000,-15.520000,-63.410000
5.380000,-15.140000,-63.770000
-15.150000,6.140000,-14.380000
5.390000,-15.110000,-63.740000
5.540000,5.330000,35.290000
-14.420000,5.740000,-13.960000
6.430000,5.980000,35.290000
5.810000,4.690000,35.420000
5.810000,4.690000,35.440000
5.260000,4.790000,35.430000
5.540000,-15.090000,-63.710000
5.470000,-15.090000,-63.730000
5.290000,4.770000,35.390000
-14.440000,5.690000,-14.140000
6.140000,-16.670000,-63.810000
-15.220000,6.060000,-14.380000
5.480000,-15.070000,-63.670000
6.000000,-16.550000,-63.770000
5.440000,-15.070000,-63.670000
5.370000,4.670000,35.450000
6.710000,5.460000,35.650000
5.410000,-15.110000,-63.730000
5.670000,5.280000,35.510000
6.540000,5.900000,35.710000
5.370000,4.700000,35.350000
5.460000,-15.080000,-63.710000
5.480000,-15.060000,-63.600000
5.500000,-15.350000,-63.770000
-15.880000,6.260000,-13.890000
5.290000,-15.160000,-63.630000
5.450000,-15.170000,-63.410000
-14.390000,5.730000,-14.040000
6.410000,5.730000,35.360000
-14.430000,5.670000,-14.090000
5.320000,4.740000,35.350000
-15.780000,6.300000,-13.920000
5.520000,-15.360000,-63.590000
-14.710000,5.890000,-13.720000
5.420000,5.220000,35.290000
5.810000,-15.610000,-63.410000
5.460000,-15.400000,-63.770000
-16.040000,6.370000,-13.940000
5.760000,5.460000,35.440000
5.280000,-15.170000,-63.670000
5.320000,-15.130000,-63.620000
6.500000,5.410000,35.290000
5.850000,-16.580000,-63.770000
5.370000,-15.090000,-63.640000
5.460000,-15.190000,-63.770000
5.470000,5.120000,35.290000
5.770000,4.710000,35.310000
-14.490000,5.890000,-13.760000
5.400000,5.040000,35.650000
-15.720000,6.450000,-13.970000
5.690000,4.700000,35.290000
5.180000,-15.510000,-63.590000
5.570000,4.870000,35.650000
-15.800000,6.540000,-13.990000
5.410000,4.880000,35.290000
6.660000,5.830000,35.790000
5.520000,4.780000,35.650000
5.190000,-15.500000,-63.740000
5.320000,4.730000,35.390000
5.240000,-15.760000,-63.760000
-15.900000,6.650000,-14.270000
5.960000,5.600000,35.380000
5.310000,5.150000,35.650000
5.360000,-15.100000,-63.630000
-15.510000,6.690000,-14.000000
6.130000,-16.590000,-63.770000
5.290000,4.900000,35.290000
5.380000,5.040000,35.290000
5.180000,-15.400000,-63.640000
-14.420000,5.690000,-14.120000
-14.410000,5.810000,-13.920000
5.310000,4.740000,35.370000
5.830000,-15.810000,-63.720000
5.680000,4.650000,35.430000
6.230000,5.580000,35.650000
5.530000,4.930000,35.300000
5.570000,-15.130000,-63.770000
5.380000,-15.120000,-63.700000
-14.590000,5.660000,-14.030000
5.890000,-15.750000,-63.770000
-15.920000,6.750000,-14.110000
6.700000,5.840000,35.750000
5.660000,4.630000,35.460000
5.300000,4.740000,35.410000
5.240000,-15.230000,-63.590000
5.260000,4.800000,35.460000
5.400000,4.900000,35.650000
5.190000,-15.320000,-63.640000
5.960000,4.860000,35.650000
-14.440000,6.050000,-14.010000
-15.660000,6.280000,-13.870000
-15.700000,6.050000,-14.130000
-14.670000,5.800000,-13.880000
5.710000,-15.360000,-63.410000
-15.880000,6.540000,-14.250000
5.360000,4.900000,35.290000
-14.480000,6.040000,-14.050000
5.490000,4.620000,35.440000
-14.570000,5.890000,-14.310000
5.400000,-15.090000,-63.660000
5.610000,4.830000,35.290000
-15.670000,6.420000,-14.320000
5.560000,-15.360000,-63.710000
5.280000,4.800000,35.390000
5.340000,4.790000,35.300000
5.560000,4.620000,35.460000
6.090000,-16.770000,-63.320000
5.270000,-15.190000,-63.700000
6.370000,5.780000,35.650000
-15.720000,6.560000,-14.010000
-14.600000,5.740000,-13.890000
-14.430000,5.680000,-14.020000
5.280000,4.760000,35.390000
5.570000,-15.360000,-63.410000
-15.850000,6.280000,-13.780000
-14.510000,5.730000,-13.830000
5.950000,-15.860000,-63.410000
-14.400000,5.740000,-14.000000
-14.620000,5.970000,-14.190000
6.420000,5.860000,35.650000
-14.400000,5.730000,-13.970000
5.190000,-15.480000,-63.680000
6.180000,5.690000,35.580000
5.340000,4.870000,35.650000
-15.800000,6.270000,-13.820000
5.470000,4.680000,35.290000
5.300000,4.940000,35.650000
5.590000,-15.350000,-63.410000
-14.520000,5.600000,-14.020000
5.330000,-15.710000,-63.410000
6.280000,5.730000,35.580000
-14.640000,5.580000,-14.170000
-15.880000,6.150000,-14.050000
5.520000,4.950000,35.470000
5.740000,-15.120000,-63.650000
-15.690000,6.390000,-13.940000
-14.660000,5.660000,-14.310000
6.680000,5.780000,35.160000
-14.860000,5.940000,-14.340000
-14.410000,5.710000,-14.070000
-15.700000,6.520000,-14.050000
-15.860000,6.690000,-14.230000
5.620000,-15.400000,-63.410000
-14.430000,5.710000,-13.920000
5.380000,4.690000,35.330000
-14.440000,5.670000,-14.020000
6.450000,5.860000,35.650000
5.400000,-15.590000,-63.770000
-14.390000,5.680000,-14.050000
5.510000,-15.360000,-63.620000
5.490000,-15.820000,-63.770000
5.260000,4.830000,35.430000
5.280000,4.810000,35.360000
-15.860000,6.560000,-13.950000
5.600000,4.860000,35.290000
-14.760000,5.860000,-14.310000
5.320000,-15.140000,-63.690000
-14.770000,5.640000,-14.290000
-14.490000,5.640000,-13.960000
-14.440000,5.670000,-13.990000
5.380000,4.670000,35.430000
6.110000,-16.460000,-63.770000
5.670000,-15.130000,-63.670000
-15.850000,6.290000,-13.930000
5.300000,4.770000,35.380000
6.020000,-16.510000,-63.410000
-14.490000,5.960000,-14.240000
